Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ,Year
9,Big East Conference,11,215,164,0.567,11.33,8.25,3,5,1,Marquette,Marquette,2023
10,Mid-American Conference,12,193,195,0.497,-3.47,-2.22,0,1,0,Toledo,Kent State,2023
11,Mountain West Conference,11,215,154,0.583,8.03,5.68,1,4,1,San Diego State,San Diego State,2023
12,Atlantic 10 Conference,15,261,229,0.533,1.27,0.37,0,1,0,Virginia Commonwealth,Virginia Commonwealth,2023
13,Missouri Valley Conference,12,206,189,0.522,-2.05,-2.03,0,1,0,Bradley,Drake,2023
14,Big Sky Conference,10,154,173,0.471,-3.4,-1.61,0,1,0,Eastern Washington,Montana State,2023
15,Atlantic Coast Conference,15,281,223,0.558,7.47,5.63,3,5,1,"Miami (FL), Virginia",Duke,2023
16,Sun Belt Conference,14,249,209,0.544,-1.09,-1.42,0,1,0,Southern Mississippi,Louisiana,2023
17,Southern Conference,10,165,166,0.498,-4.6,-3.65,0,1,0,"Furman, Samford",Furman,2023
18,Ivy League,8,123,109,0.53,-1.44,-1.96,0,1,0,"Princeton, Yale",Princeton,2023
19,Horizon League,11,175,190,0.479,-6.42,-4.49,0,1,0,Youngstown State,Northern Kentucky,2023
20,Western Athletic Conference,13,237,189,0.556,0.66,0.96,0,1,0,Utah Valley,Grand Canyon,2023
21,Big South Conference,10,159,167,0.488,-6.14,-4.62,0,1,0,UNC Asheville,UNC Asheville,2023
22,Metro Atlantic Athletic Conference,11,171,178,0.49,-5.36,-4.56,0,1,0,Iona,Iona,2023
23,Big West Conference,11,185,178,0.51,-1.98,-1.1,0,1,0,"UC Irvine, UC Santa Barbara",UC Santa Barbara,2023
24,Patriot League,10,155,169,0.478,-7.72,-6.39,0,1,0,Colgate,Colgate,2023
25,Summit League,10,160,163,0.495,-5.61,-3.38,0,1,0,Oral Roberts,Oral Roberts,2023
26,Southwest Athletic Conference,12,155,230,0.403,-12.13,-6.21,0,1,0,"Alcorn State, Grambling",Texas Southern,2023
27,Independent,2,16,43,0.271,-17.21,-5.74,0,0,0,,,2023
28,Atlantic Sun Conference,14,239,217,0.524,-4.69,-2.74,0,1,0,"Kennesaw State, Liberty",Kennesaw State,2023
29,Ohio Valley Conference,10,159,169,0.485,-9.84,-6.98,0,1,0,Morehead State,Southeast Missouri State,2023
30,Northeast Conference,9,124,161,0.435,-13.96,-9.54,0,1,0,Merrimack,Merrimack,2023
31,America East Conference,9,140,142,0.496,-6.98,-5.46,0,1,0,Vermont,Vermont,2023
32,Mid-Eastern Athletic Conference,8,115,138,0.455,-10.01,-5.26,0,1,0,Howard,Howard,2023
33,Southland Conference,10,147,177,0.454,-11.24,-6.95,0,1,0,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,2023
1,Pac-12 Conference,12,226,181,0.555,10.88,8.54,2,4,0,Arizona,Oregon,2024
2,Southeastern Conference,14,284,197,0.59,12.15,8.38,5,8,1,Tennessee,Auburn,2024
3,Big Ten Conference,14,284,199,0.588,12.98,9.15,2,6,1,Purdue,Illinois,2024
4,Big 12 Conference,14,295,184,0.616,15.09,9.12,4,8,0,Houston,Iowa State,2024
5,West Coast Conference,9,157,141,0.527,1.8,1.35,2,2,0,Saint Mary's,Saint Mary's,2024
6,Big East Conference,11,219,163,0.573,12.82,9.58,3,3,1,Connecticut,Connecticut,2024
7,Atlantic Coast Conference,15,298,218,0.578,11.35,8.31,4,5,1,North Carolina,NC State,2024
8,Sun Belt Conference,14,230,231,0.499,-3.41,-2.42,0,1,0,Appalachian State,James Madison,2024
9,American Athletic Conference,14,251,210,0.544,3.68,2.28,0,2,0,South Florida,UAB,2024
10,Atlantic 10 Conference,15,285,215,0.57,4.52,2.55,1,2,0,"Loyola (IL), Richmond",Duquesne,2024
11,Missouri Valley Conference,12,221,183,0.547,2.59,1.51,0,1,0,Indiana State,Drake,2024
12,Mid-American Conference,12,189,199,0.487,-5.68,-3.62,0,1,0,Toledo,Akron,2024
13,Southern Conference,10,177,152,0.538,-3.08,-2.75,0,1,0,Samford,Samford,2024
14,Big Sky Conference,10,167,166,0.502,-6.17,-4.36,0,1,0,Eastern Washington,Montana State,2024
15,Ohio Valley Conference,11,174,183,0.487,-10.29,-6.88,0,1,0,"Little Rock, Morehead State, Tennessee-Martin",Morehead State,2024
16,Horizon League,11,181,187,0.492,-5.78,-4.03,0,1,0,Oakland,Oakland,2024
17,Ivy League,8,126,107,0.541,-2.02,-1.42,0,1,0,Princeton,Yale,2024
18,Western Athletic Conference,11,191,175,0.522,-1.6,-0.99,0,1,0,Grand Canyon,Grand Canyon,2024
19,Mountain West Conference,11,219,154,0.587,7.08,5.21,2,6,0,Utah State,New Mexico,2024
20,Atlantic Sun Conference,12,185,204,0.476,-7.76,-4.48,0,1,0,Eastern Kentucky,Stetson,2024
21,America East Conference,9,147,138,0.516,-5.92,-4.69,0,1,0,Vermont,Vermont,2024
22,Summit League,9,147,147,0.5,-6.03,-4.45,0,1,0,South Dakota State,South Dakota State,2024
23,Metro Atlantic Athletic Conference,11,170,188,0.475,-7.71,-6.1,0,1,0,Quinnipiac,Saint Peter's,2024
24,Conference USA,9,153,142,0.519,-2.43,-1.58,0,1,0,Sam Houston,Western Kentucky,2024
25,Northeast Conference,9,123,160,0.435,-12.89,-8.58,0,1,0,"Central Connecticut State, Merrimack",Wagner,2024
26,Patriot League,10,136,189,0.418,-10.58,-7.51,0,1,0,Colgate,Colgate,2024
27,Independent,1,13,19,0.406,-9.34,-3.03,0,0,0,,,2024
28,Coastal Athletic Association,14,230,230,0.5,-5.01,-3.72,0,1,0,College of Charleston,College of Charleston,2024
29,Big South Conference,9,154,142,0.52,-4.85,-3.48,0,1,0,High Point,Longwood,2024
30,Big West Conference,11,188,177,0.515,-2.73,-2.21,0,1,0,UC Irvine,Long Beach State,2024
31,Southwest Athletic Conference,12,156,232,0.402,-13.45,-6.44,0,1,0,Grambling,Grambling,2024
32,Southland Conference,10,151,173,0.466,-10.35,-6.3,0,1,0,McNeese,McNeese,2024
33,Mid-Eastern Athletic Conference,8,111,145,0.434,-12.44,-7.14,0,1,0,Norfolk State,Howard,2024
