Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ,Year
16,Conference USA,11,185,165,0.529,1.44,1.19,1,1,0,Middle Tennessee,Middle Tennessee,2023
17,Atlantic Sun Conference,14,214,214,0.5,-6.86,-4.16,0,1,0,Florida Gulf Coast,Florida Gulf Coast,2023
18,Mid-American Conference,12,203,175,0.537,-1.56,-1.3,0,1,0,Toledo,Toledo,2023
19,Ohio Valley Conference,10,139,162,0.462,-12.49,-7.96,0,1,0,Little Rock,Tennessee Tech,2023
20,America East Conference,9,124,145,0.461,-13.25,-10.07,0,1,0,"Albany (NY), Vermont",Vermont,2023
21,Big West Conference,11,161,182,0.469,-3.64,-0.96,0,1,0,UC Irvine,Hawaii,2023
22,Ivy League,8,125,108,0.536,1.55,1.03,0,1,0,"Columbia, Princeton",Princeton,2023
23,Sun Belt Conference,14,227,214,0.515,-5.98,-4.58,0,1,0,"James Madison, Southern Mississippi, Texas State",James Madison,2023
24,Summit League,10,151,161,0.484,-5.77,-3.44,0,1,0,South Dakota State,South Dakota State,2023
25,Big South Conference,10,134,176,0.432,-17.65,-12.19,0,1,0,Gardner-Webb,Gardner-Webb,2023
26,Colonial Athletic Association,13,198,204,0.493,-7.71,-6.26,0,1,0,"Drexel, Northeastern, Towson",Monmouth,2023
27,Patriot League,10,137,171,0.445,-11.51,-8.89,0,1,0,Boston University,Holy Cross,2023
28,Mid-Eastern Athletic Conference,8,102,137,0.427,-16.28,-10.09,0,1,0,Norfolk State,Norfolk State,2023
29,Southland Conference,10,136,166,0.45,-13.35,-8.16,0,1,0,"Southeastern Louisiana, Texas A&M-Corpus Christi",Southeastern Louisiana,2023
30,Southwest Athletic Conference,12,141,219,0.392,-15.09,-7.91,0,1,0,Jackson State,Southern,2023
31,Metro Atlantic Athletic Conference,11,158,183,0.463,-12.42,-10.23,0,1,0,Iona,Iona,2023
32,Northeast Conference,9,112,158,0.415,-17.61,-13.06,0,1,0,FDU,Sacred Heart,2023
33,Independent,2,8,48,0.143,-36.57,-10.89,0,0,0,,,2023
1,Big 12 Conference,14,282,176,0.616,19.74,13.32,6,7,0,Oklahoma,Texas,2024
2,West Coast Conference,9,149,141,0.514,2.02,2.85,1,2,0,Gonzaga,Portland,2024
3,Southeastern Conference,14,291,173,0.627,19.88,12.69,2,8,1,South Carolina,South Carolina,2024
4,Big Ten Conference,14,278,191,0.593,19.26,13.66,3,7,1,Ohio State,Iowa,2024
5,Atlantic Coast Conference,15,290,207,0.584,18.58,13.29,5,8,1,Virginia Tech,Notre Dame,2024
6,Missouri Valley Conference,12,191,201,0.487,-1.63,-0.62,0,1,0,Drake,Drake,2024
7,Horizon League,11,180,175,0.507,-4.55,-3.37,0,1,0,Cleveland State,Green Bay,2024
8,Atlantic 10 Conference,15,257,224,0.534,0.94,0.29,0,1,0,Richmond,Richmond,2024
9,Pac-12 Conference,12,256,150,0.631,23.14,16.25,6,7,0,Stanford,Southern California,2024
10,Big Sky Conference,10,157,166,0.486,-3.79,-2.39,0,1,0,Eastern Washington,Eastern Washington,2024
11,Big East Conference,11,203,161,0.558,12.03,9.32,2,3,1,Connecticut,Connecticut,2024
12,Southern Conference,8,134,115,0.538,-8.01,-6.7,0,1,0,Chattanooga,Chattanooga,2024
13,American Athletic Conference,14,237,212,0.528,3.94,2.38,0,1,0,"North Texas, Temple, Tulsa",Rice,2024
14,Ivy League,8,117,105,0.527,-0.08,0.46,0,2,0,"Columbia, Princeton",Princeton,2024
15,Big West Conference,11,162,183,0.47,-5.85,-3.24,0,1,0,Hawaii,UC Irvine,2024
16,Sun Belt Conference,14,246,210,0.539,-1.38,-1.55,0,1,0,Marshall,Marshall,2024
17,Conference USA,9,142,145,0.495,-2.42,-0.83,0,1,0,Middle Tennessee,Middle Tennessee,2024
18,America East Conference,9,138,143,0.491,-9.51,-8.15,0,1,0,Maine,Maine,2024
19,Mountain West Conference,11,190,167,0.532,-0.96,-1.11,0,1,0,Nevada-Las Vegas,Nevada-Las Vegas,2024
20,Western Athletic Conference,11,164,177,0.481,-6.6,-4.67,0,1,0,California Baptist,California Baptist,2024
21,Atlantic Sun Conference,12,183,192,0.488,-8.11,-5.0,0,1,0,Florida Gulf Coast,Florida Gulf Coast,2024
22,Coastal Athletic Association,14,216,221,0.494,-7.38,-6.04,0,1,0,Stony Brook,Drexel,2024
23,Ohio Valley Conference,11,149,188,0.442,-10.5,-7.11,0,1,0,Southern Indiana,Southern Indiana,2024
24,Mid-American Conference,12,183,187,0.495,-5.72,-3.59,0,1,0,Toledo,Kent State,2024
25,Summit League,9,145,144,0.502,-4.09,-1.78,0,1,0,South Dakota State,South Dakota State,2024
26,Mid-Eastern Athletic Conference,8,103,140,0.424,-14.8,-8.71,0,1,0,Norfolk State,Norfolk State,2024
27,Metro Atlantic Athletic Conference,11,166,177,0.484,-12.15,-9.83,0,1,0,Fairfield,Fairfield,2024
28,Southwest Athletic Conference,12,157,214,0.423,-13.65,-6.23,0,1,0,Jackson State,Jackson State,2024
29,Patriot League,10,153,159,0.49,-11.32,-9.31,0,1,0,Holy Cross,Holy Cross,2024
30,Big South Conference,9,123,161,0.433,-18.24,-11.71,0,1,0,High Point,Presbyterian,2024
31,Northeast Conference,9,101,176,0.365,-22.04,-14.36,0,1,0,Sacred Heart,Sacred Heart,2024
32,Southland Conference,10,148,159,0.482,-11.27,-6.31,0,1,0,Lamar,Texas A&M-Corpus Christi,2024
33,Independent,1,1,26,0.037,-31.63,-4.05,0,0,0,,,2024
